test_id,algorithm,original_category,identified_category_by_AI,identified_category_score,identified_algorithm_by_AI,identified_algorithm_score,response_success,overall_score,vulnerability_score,decryption_score,decryption_applicable,decryption_kind,decryption_acknowledged_infeasible,decryption_plaintext_similarity,decryption_plaintext_exact_match,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count,exact_match,category_match
test_018,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.575,0.0,0.0,False,not_applicable,True,0.0,False,0.75,0.98,4,2,True,True
test_019,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_020,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.9,3,2,True,True
test_021,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,1.0,True,0.592,0.0,0.0,True,none,False,0.0,False,0.917,0.95,3,2,True,True
test_022,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.57,0.0,0.0,False,not_applicable,False,0.0,False,0.7,0.95,4,2,True,True
test_023,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.9,3,2,True,True
test_024,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.9,3,2,False,True
test_025,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.622,0.3,0.0,True,none,False,0.0,False,0.917,0.95,4,4,True,True
test_026,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.64,0.4,0.0,False,not_applicable,True,0.0,False,1.0,0.95,4,2,True,True
test_027,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.647,0.567,0.0,True,none,False,0.0,False,0.9,0.85,3,3,True,True
test_028,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.98,3,2,False,True
test_029,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.95,3,2,False,True
test_030,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.08,0.1,0.0,False,not_applicable,False,0.0,False,0.7,0.95,4,2,False,True
test_031,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.093,0.1,0.0,True,none,False,0.0,False,0.833,0.9,3,3,False,True
test_032,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.133,0.1,0.111,True,plaintext_similarity,False,0.111,False,0.9,0.9,3,2,False,True
test_033,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,4,2,False,True
test_034,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.613,0.133,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_035,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.4,0.0,False,not_applicable,False,0.0,False,0.8,1.0,3,2,True,True
test_036,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,False,not_applicable,False,0.0,False,0.9,0.95,4,2,False,True
test_037,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.077,0.1,0.0,False,not_applicable,False,0.0,False,0.667,0.95,4,2,False,True
test_038,Vigenère cipher,classical,classical,1.0,Caesar cipher,0.0,True,0.07,0.1,0.0,True,none,False,0.0,False,0.6,0.95,3,3,False,True
test_039,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,ack_infeasible,True,0.0,False,1.0,0.95,4,3,True,True
test_040,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.9,3,2,False,True
test_041,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.59,0.0,0.0,False,not_applicable,False,0.0,False,0.9,0.95,4,2,True,True
test_042,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_043,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.58,0.0,0.0,False,not_applicable,True,0.0,False,0.8,0.98,3,2,True,True
test_044,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.95,3,2,True,True
test_045,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.64,0.567,0.0,True,none,False,0.0,False,0.833,0.85,4,3,True,True
test_046,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.632,0.4,0.0,True,none,False,0.0,False,0.917,0.95,3,2,True,True
test_047,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,3,2,False,True
test_048,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.69,0.9,0.0,True,none,False,0.0,False,1.0,0.95,3,3,True,True
test_049,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.883,0.133,1.0,True,plaintext_similarity,False,1.0,True,0.7,1.0,3,3,True,True
test_050,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_051,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.613,0.3,0.0,True,none,False,0.0,False,0.833,0.95,4,3,True,True
test_052,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,True,none,False,0.0,False,1.0,0.9,3,3,True,True
test_053,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,False,not_applicable,False,0.0,False,0.8,0.95,4,2,False,True
test_054,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.332,0.1,0.778,True,plaintext_similarity,False,0.778,False,0.889,0.95,4,3,False,True
test_055,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.98,4,3,True,True
test_056,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.8,3,3,False,True
test_057,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.09,0.1,0.0,True,none,False,0.0,False,0.8,0.85,4,4,False,True
test_058,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.95,3,1,False,True
test_059,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.9,4,3,False,True
test_060,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.093,0.1,0.0,False,not_applicable,False,0.0,False,0.833,0.95,4,2,False,True
test_061,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.98,3,2,False,True
test_062,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.075,0.1,0.0,False,not_applicable,False,0.0,False,0.65,1.0,4,2,False,True
test_063,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.093,0.1,0.0,False,not_applicable,False,0.0,False,0.833,0.95,4,2,False,True
test_064,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.61,0.3,0.0,True,none,False,0.0,False,0.8,0.9,4,3,True,True
test_065,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.667,1.0,0.0,True,none,False,0.0,False,0.667,0.95,3,3,True,True
test_066,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.085,0.1,0.0,False,not_applicable,False,0.0,False,0.75,0.95,4,3,False,True
test_067,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.937,0.567,1.0,True,plaintext_similarity,False,1.0,False,0.8,1.0,3,3,True,True
test_068,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.09,0.1,0.0,True,none,False,0.0,False,0.8,0.95,4,3,False,True
test_069,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.9,3,2,False,True
test_070,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.3,0.0,False,not_applicable,True,0.0,False,1.0,0.98,4,3,True,True
test_071,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,3,2,True,True
test_072,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,False,not_applicable,False,0.0,False,0.8,0.95,4,2,False,True
test_073,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_074,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,1.0,3,2,False,True
test_075,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.59,0.0,0.0,True,none,False,0.0,False,0.9,0.95,4,2,True,True
test_076,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.9,3,2,True,True
test_077,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_078,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.59,0.0,0.0,False,not_applicable,True,0.0,False,0.9,0.95,3,1,True,True
test_079,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,2,True,True
test_080,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.913,0.467,1.0,True,plaintext_similarity,False,1.0,True,0.667,1.0,3,4,True,True
test_081,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.9,3,2,False,True
test_082,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.4,0.0,False,not_applicable,False,0.0,False,0.7,0.98,4,2,True,True
test_083,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_084,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.64,0.4,0.0,False,not_applicable,False,0.0,False,1.0,0.98,3,2,True,True
test_085,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.657,0.567,0.0,True,none,False,0.0,False,1.0,0.8,4,3,True,True
test_086,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,1,False,True
test_087,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.883,0.033,1.0,True,plaintext_similarity,False,1.0,True,0.8,1.0,3,4,True,True
test_088,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.818,0.3,0.692,True,plaintext_similarity,False,0.692,False,0.8,0.95,4,3,True,True
test_089,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.085,0.1,0.0,False,not_applicable,False,0.0,False,0.75,0.95,4,2,False,True
test_090,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_091,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.64,0.4,0.0,True,none,False,0.0,False,1.0,0.95,3,2,True,True
test_092,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_093,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.59,0.0,0.0,False,not_applicable,False,0.0,False,0.9,0.95,4,2,True,True
test_094,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.07,0.1,0.0,False,not_applicable,False,0.0,False,0.6,0.95,4,3,False,True
test_095,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.637,0.567,0.0,True,none,False,0.0,False,0.8,0.8,3,3,True,True
test_096,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.9,3,2,False,True
test_097,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.63,0.3,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_098,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.56,0.0,0.0,False,not_applicable,False,0.0,False,0.6,0.95,4,2,True,True
test_099,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,3,2,True,True
test_100,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,4,1,False,True
test_101,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.623,0.233,0.0,True,none,False,0.0,False,1.0,0.95,4,2,True,True
test_102,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.95,3,2,False,True
test_103,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.08,0.1,0.0,False,not_applicable,False,0.0,False,0.7,0.95,4,2,False,True
test_104,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.682,0.9,0.0,True,none,False,0.0,False,0.917,0.85,3,2,True,True
test_105,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.94,0.567,1.0,True,plaintext_similarity,False,1.0,True,0.833,1.0,3,3,True,True
test_106,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,False,not_applicable,False,0.0,False,0.9,1.0,3,2,True,True
test_107,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.622,0.3,0.0,True,none,False,0.0,False,0.917,0.9,4,3,True,True
test_108,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.642,0.3,0.111,True,plaintext_similarity,False,0.111,False,0.786,0.95,4,4,True,True
test_109,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.613,0.3,0.0,True,none,False,0.0,False,0.833,0.9,4,4,True,True
test_110,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.927,0.567,1.0,True,plaintext_similarity,False,1.0,True,0.7,1.0,3,3,True,True
test_111,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,False,not_applicable,False,0.0,False,0.8,1.0,4,2,False,True
test_112,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,4,4,False,True
test_113,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.888,0.133,1.0,True,plaintext_similarity,False,1.0,True,0.75,1.0,3,3,True,True
test_114,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.278,0.1,0.615,True,plaintext_similarity,False,0.615,False,0.833,0.95,3,4,False,True
test_115,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.13,0.1,0.1,True,plaintext_similarity,False,0.1,False,0.9,0.9,3,2,False,True
test_116,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.68,0.9,0.0,False,not_applicable,True,0.0,False,0.9,0.98,4,3,True,True
test_117,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.57,0.0,0.0,False,not_applicable,True,0.0,False,0.7,0.98,4,2,True,True
test_118,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.613,0.133,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_119,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_120,Vigenère cipher,classical,classical,1.0,Caesar cipher,0.0,True,0.093,0.1,0.0,True,none,False,0.0,False,0.833,0.95,3,3,False,True
test_121,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.4,0.0,False,not_applicable,False,0.0,False,0.9,0.98,3,2,True,True
test_122,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.682,0.567,0.25,True,plaintext_similarity,False,0.25,False,0.5,0.95,2,3,True,True
test_123,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.63,0.3,0.0,True,none,False,0.0,False,1.0,0.95,4,4,True,True
test_124,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,1.0,True,0.68,0.9,0.0,True,none,False,0.0,False,0.9,0.95,3,2,True,True
test_125,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.856,0.133,0.909,True,plaintext_similarity,False,0.909,False,0.7,1.0,2,3,True,True
test_126,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.4,0.0,False,not_applicable,False,0.0,False,0.8,1.0,4,2,True,True
test_127,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.59,0.0,0.0,True,none,False,0.0,False,0.9,0.95,4,2,True,True
test_128,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,4,4,False,True
test_129,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.4,0.0,True,none,False,0.0,False,0.9,0.9,3,2,True,True
test_130,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,False,not_applicable,False,0.0,False,0.8,1.0,4,2,False,True
test_131,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.077,0.1,0.0,False,not_applicable,False,0.0,False,0.667,0.95,4,2,False,True
test_132,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.928,0.567,1.0,True,plaintext_similarity,False,1.0,True,0.714,1.0,3,3,True,True
test_133,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.622,0.3,0.0,True,none,False,0.0,False,0.917,0.9,4,4,True,True
test_134,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.567,0.0,0.0,False,not_applicable,True,0.0,False,0.667,0.98,4,2,True,True
test_135,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,3,2,False,True
test_136,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
test_137,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.98,4,3,True,True
test_138,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.59,0.0,0.0,True,none,False,0.0,False,0.9,0.95,4,3,True,True
test_139,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.622,0.3,0.0,True,none,False,0.0,False,0.917,0.9,3,3,True,True
test_140,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.4,0.0,False,not_applicable,False,0.0,False,0.8,0.95,4,2,True,True
test_141,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_142,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,2,True,True
test_143,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.666,0.4,0.143,True,plaintext_similarity,False,0.143,False,0.833,0.9,3,2,True,True
test_144,Substitution cipher,classical,classical,1.0,Substitution cipher,1.0,True,0.9,0.3,1.0,True,plaintext_similarity,False,1.0,True,0.7,0.95,3,3,True,True
test_145,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.583,0.0,0.0,False,not_applicable,True,0.0,False,0.833,1.0,4,2,True,True
test_146,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_147,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.07,0.1,0.0,False,not_applicable,False,0.0,False,0.6,0.95,4,3,False,True
test_148,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.592,0.0,0.0,True,ack_infeasible,True,0.0,False,0.917,0.95,3,2,True,True
test_149,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.623,0.233,0.0,True,none,False,0.0,False,1.0,0.45,3,2,True,True
test_150,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.95,3,2,False,True
test_151,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.68,0.9,0.0,False,not_applicable,False,0.0,False,0.9,1.0,4,3,True,True
test_152,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.597,0.3,0.0,False,not_applicable,False,0.0,False,0.667,0.95,4,3,True,True
test_153,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,True,none,False,0.0,False,0.9,0.85,3,2,False,True
test_154,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.95,3,2,False,True
test_155,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,3,2,True,True
test_156,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.578,0.0,0.0,False,not_applicable,False,0.0,False,0.775,0.95,3,1,True,True
test_157,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.615,0.4,0.0,False,not_applicable,False,0.0,False,0.75,0.95,3,2,True,True
test_158,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.95,3,2,False,True
test_159,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.63,0.3,0.0,True,none,False,0.0,False,1.0,0.95,4,4,True,True
test_160,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.07,0.1,0.0,False,not_applicable,False,0.0,False,0.6,1.0,4,2,False,True
test_161,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,True,none,False,0.0,False,1.0,0.9,4,2,False,True
test_162,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,False,not_applicable,False,0.0,False,0.9,0.98,4,2,True,True
test_163,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.102,0.1,0.0,True,none,False,0.0,False,0.917,0.9,3,2,False,True
test_164,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.878,0.133,1.0,True,plaintext_similarity,False,1.0,True,0.643,1.0,3,3,True,True
test_165,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,True,none,False,0.0,False,1.0,0.95,4,3,True,True
