test_id,algorithm,original_category,identified_category_by_AI,identified_category_score,identified_algorithm_by_AI,identified_algorithm_score,response_success,overall_score,vulnerability_score,decryption_score,reasoning_score,confidence,suggested_attacks_count,vulnerabilities_count,exact_match,category_match
test_033,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.1,0.1,0.0,0.9,0.95,3,3,False,True
test_034,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.12,4,3,True,True
test_035,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.59,0.0,0.0,0.9,0.85,4,3,True,True
test_036,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.102,0.1,0.0,0.917,0.72,3,3,False,True
test_037,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.11,0.1,0.0,1.0,0.6,3,3,False,True
test_038,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.148,0.1,0.182,0.833,0.6,3,3,False,True
test_039,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.603,0.033,0.0,1.0,0.95,4,4,True,True
test_040,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.83,1.9,0.167,0.9,0.6,4,3,True,True
test_041,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.62,0.3,0.0,0.9,0.95,4,3,True,True
test_042,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.59,0.0,0.0,0.9,0.12,4,3,True,True
test_043,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,0.9,0.9,4,3,True,True
test_044,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.6,0.0,0.0,1.0,0.75,4,3,True,True
test_045,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,0.9,0.9,3,2,False,True
test_046,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.7,4,3,True,True
test_047,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.68,0.8,0.0,1.0,0.9,4,3,True,True
test_048,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.672,0.8,0.0,0.917,0.9,4,4,True,True
test_049,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.6,4,4,False,True
test_050,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,1.0,True,0.68,0.8,0.0,1.0,0.9,4,3,True,True
test_051,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.61,0.3,0.0,0.8,0.6,4,3,True,True
test_052,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.9,4,3,True,True
test_053,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.8,3,2,False,True
test_054,Substitution cipher,classical,classical,1.0,Substitution cipher,1.0,True,0.62,0.3,0.0,0.9,0.3,3,3,True,True
test_055,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_056,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.7,4,4,False,True
test_057,Substitution cipher,classical,classical,1.0,Substitution cipher,1.0,True,0.73,0.3,0.333,1.0,0.7,3,3,True,True
test_058,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.8,4,3,False,True
test_059,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.1,0.1,0.0,0.9,0.9,4,4,False,True
test_060,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.6,3,2,False,True
test_061,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.9,4,3,False,True
test_062,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.9,4,3,False,True
test_063,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.9,3,3,False,True
test_064,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.613,0.3,0.0,0.833,0.35,3,3,True,True
test_065,Caesar cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.117,0.1,0.091,0.8,0.9,3,3,False,True
test_066,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.08,0.1,0.0,0.7,0.7,4,3,False,True
test_067,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.1,0.1,0.0,0.9,0.75,4,3,False,True
test_068,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.7,4,3,False,True
test_069,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.68,0.8,0.0,1.0,0.9,4,3,True,True
test_070,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.3,0.0,1.0,0.95,4,3,True,True
test_071,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.68,0.8,0.0,1.0,0.9,4,3,True,True
test_072,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.11,0.1,0.0,1.0,0.8,4,3,False,True
test_073,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.68,0.8,0.0,1.0,0.7,4,3,True,True
test_074,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.9,4,3,False,True
test_075,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_076,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.59,0.0,0.0,0.9,0.8,4,3,True,True
test_077,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.92,4,3,True,True
test_078,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.3,0.0,1.0,0.95,3,3,True,True
test_079,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.8,3,3,False,True
test_080,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.6,4,3,False,True
test_081,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.592,0.0,0.0,0.917,0.6,4,3,True,True
test_082,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.59,0.3,0.0,0.6,0.75,3,3,True,True
test_083,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.9,4,4,True,True
test_084,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.62,0.3,0.0,0.9,0.95,4,3,True,True
test_085,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,0.9,0.7,4,3,False,True
test_086,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.6,3,3,False,True
test_087,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.7,3,3,False,True
test_088,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.135,0.1,0.111,0.917,0.7,3,3,False,True
test_089,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.75,4,3,False,True
test_090,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,3,False,True
test_091,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.9,4,3,True,True
test_092,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.67,0.7,0.0,1.0,0.7,4,4,True,True
test_093,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.61,0.2,0.0,0.9,0.95,4,4,True,True
test_094,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.08,0.1,0.0,0.7,0.9,4,3,False,True
test_095,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.657,0.567,0.0,1.0,0.6,3,3,True,True
test_096,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.7,4,3,False,True
test_097,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.62,0.3,0.0,0.9,0.7,3,3,True,True
test_098,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.6,0.3,0.0,0.7,0.72,3,3,True,True
test_099,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.95,5,4,True,True
test_100,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,3,False,True
test_101,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.12,4,3,True,True
test_102,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.8,3,3,False,True
test_103,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.7,3,3,False,True
test_104,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.7,4,3,False,True
test_105,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.937,0.567,1.0,0.8,0.95,3,3,True,True
test_106,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,0.9,0.9,4,4,True,True
test_107,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.62,0.3,0.0,0.9,0.6,4,3,True,True
test_108,Vigenère cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.143,0.1,0.111,1.0,0.75,4,3,False,True
test_109,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.63,0.3,0.0,1.0,0.7,3,3,True,True
test_110,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.75,4,3,False,True
test_111,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.8,3,3,False,True
test_112,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.093,0.1,0.0,0.833,0.9,3,3,False,True
test_113,Caesar cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.128,0.1,0.125,0.8,0.5,3,3,False,True
test_114,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.748,0.3,0.462,0.8,0.6,4,3,True,True
test_115,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.6,0.0,0.0,1.0,0.7,3,3,True,True
test_116,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.69,0.9,0.0,1.0,0.98,4,3,True,True
test_117,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.6,0.0,0.0,1.0,0.95,4,4,True,True
test_118,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.603,0.033,0.0,1.0,0.9,4,4,True,True
test_119,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.38,4,3,True,True
test_120,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.622,0.3,0.0,0.917,0.7,3,3,True,True
test_121,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.6,0.0,0.0,1.0,0.95,3,3,True,True
test_122,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.909,0.567,0.909,0.8,0.95,3,3,True,True
test_123,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.622,0.3,0.0,0.917,0.7,4,3,True,True
test_124,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,3,False,True
test_125,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.917,0.567,1.0,0.6,0.95,3,3,True,True
test_126,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.57,0.0,0.0,0.7,0.75,3,3,True,True
test_127,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.95,3,3,True,True
test_128,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.78,4,3,False,True
test_129,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.9,4,3,True,True
test_130,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.7,3,3,False,True
test_131,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.7,3,3,False,True
test_132,Caesar cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.11,0.1,0.0,1.0,0.6,4,3,False,True
test_133,Vigenère cipher,classical,classical,1.0,Caesar cipher,0.0,True,0.143,0.1,0.167,0.833,0.6,3,3,False,True
test_134,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.59,0.0,0.0,0.9,0.95,4,4,True,True
test_135,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,1.0,0.95,4,3,True,True
test_136,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.9,4,4,True,True
test_137,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.92,4,3,True,True
test_138,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.95,4,3,True,True
test_139,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.69,0.9,0.0,1.0,0.85,4,3,True,True
test_140,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.3,0.0,0.8,0.8,3,3,True,True
test_141,AES-CTR,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.6,3,3,False,True
test_142,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.6,0.0,0.0,1.0,0.2,4,3,True,True
test_143,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.9,3,3,True,True
test_144,Substitution cipher,classical,unknown,0.0,unknown,0.0,True,0.01,0.0,0.0,0.1,0.5,0,0,False,False
test_145,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.6,0.0,0.0,1.0,0.95,4,3,True,True
test_146,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.8,3,3,False,True
test_147,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.7,3,3,False,True
test_148,RSA-4096,asymmetric,asymmetric,1.0,RSA-4096,1.0,True,0.592,0.0,0.0,0.917,0.95,4,3,True,True
test_149,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-ECB,1.0,True,0.613,0.133,0.0,1.0,0.7,4,3,True,True
test_150,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,4,False,True
test_151,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.3,0.0,0.9,0.8,4,3,True,True
test_152,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.605,0.3,0.0,0.75,0.6,3,3,True,True
test_153,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.102,0.1,0.0,0.917,0.7,3,3,False,True
test_154,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.6,0.0,0.0,1.0,0.75,4,4,True,True
test_155,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.67,0.7,0.0,1.0,0.9,4,4,True,True
test_156,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.63,0.3,0.0,1.0,0.95,3,3,True,True
test_157,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.62,0.3,0.0,0.9,0.7,3,3,True,True
test_158,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.102,0.1,0.0,0.917,0.8,4,4,False,True
test_159,Vigenère cipher,classical,classical,1.0,Vigenère cipher,1.0,True,0.61,0.3,0.0,0.8,0.6,4,3,True,True
test_160,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.08,0.1,0.0,0.7,0.9,3,3,False,True
test_161,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.68,0.8,0.0,1.0,0.6,3,3,True,True
test_162,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.592,0.0,0.0,0.917,0.95,4,3,True,True
test_163,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.67,0.8,0.0,0.9,0.18,3,3,True,True
test_164,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.09,0.1,0.0,0.8,0.7,4,3,False,True
test_165,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.9,3,3,True,True
test_166,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.7,4,3,False,True
test_167,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.9,3,3,False,True
test_168,AES-GCM,modern_symmetric,modern symmetric,1.0,AES-GCM,1.0,True,0.68,0.8,0.0,1.0,0.95,4,3,True,True
test_169,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.95,5,4,True,True
test_170,Caesar cipher,classical,classical,1.0,Substitution cipher,0.0,True,0.08,0.1,0.0,0.7,0.7,3,3,False,True
test_171,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.58,0.0,0.0,0.8,0.95,4,3,True,True
test_172,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.1,0.1,0.0,0.9,0.6,4,3,False,True
test_173,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.59,0.0,0.0,0.9,0.95,4,3,True,True
test_174,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.7,4,3,False,True
test_175,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.11,0.1,0.0,1.0,0.7,3,3,False,True
test_176,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.69,0.9,0.0,1.0,0.7,3,3,True,True
test_177,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,3,False,True
test_178,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.115,0.1,0.083,0.8,0.6,3,3,False,True
test_179,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.583,0.0,0.0,0.833,0.7,4,3,True,True
test_180,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.6,0.0,0.0,1.0,0.95,4,4,True,True
test_181,Substitution cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.1,0.1,0.0,0.9,0.45,3,3,False,True
test_182,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_183,Caesar cipher,classical,classical,1.0,Caesar cipher,1.0,True,0.889,0.567,0.875,0.7,0.99,3,3,True,True
test_184,Caesar cipher,classical,classical,1.0,Vigenère cipher,0.0,True,0.102,0.1,0.0,0.917,0.7,4,3,False,True
test_185,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.3,0.0,0.8,0.9,4,3,True,True
test_186,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.7,4,3,False,True
test_187,ECDSA (P-256),asymmetric,asymmetric,1.0,ECDSA (P-256),1.0,True,0.6,0.0,0.0,1.0,0.9,4,3,True,True
test_188,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.8,3,3,False,True
test_189,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.63,0.3,0.0,1.0,0.8,4,3,True,True
test_190,AES-CBC,modern_symmetric,modern symmetric,1.0,AES-CBC,1.0,True,0.69,0.9,0.0,1.0,0.9,4,3,True,True
test_191,RSA-2048,asymmetric,asymmetric,1.0,RSA-2048,1.0,True,0.603,0.133,0.0,0.9,0.95,4,3,True,True
test_192,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.6,0.3,0.0,0.7,0.95,3,3,True,True
test_193,BLAKE3,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.7,3,3,False,True
test_194,AES-GCM,modern_symmetric,modern symmetric,1.0,ChaCha20-Poly1305,0.0,True,0.11,0.1,0.0,1.0,0.9,3,3,False,True
test_195,AES-CTR,modern_symmetric,modern symmetric,1.0,AES-CTR,1.0,True,0.68,0.8,0.0,1.0,0.9,3,3,True,True
test_196,SHA-3-256,hash,hash,1.0,SHA-256,0.0,True,0.09,0.1,0.0,0.8,0.8,3,3,False,True
test_197,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.11,0.1,0.0,1.0,0.6,4,4,False,True
test_198,AES-ECB,modern_symmetric,modern symmetric,1.0,AES-CBC,0.0,True,0.1,0.1,0.0,0.9,0.6,4,3,False,True
test_199,SHA-256,hash,hash,1.0,SHA-256,1.0,True,0.61,0.3,0.0,0.8,0.7,3,3,True,True
test_200,Ed25519,asymmetric,asymmetric,1.0,Ed25519,1.0,True,0.61,0.2,0.0,0.9,0.95,4,4,True,True
test_201,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.95,4,4,False,True
test_202,ChaCha20-Poly1305,modern_symmetric,modern symmetric,1.0,AES-GCM,0.0,True,0.11,0.1,0.0,1.0,0.9,4,3,False,True
